smoothness_ranking,picture_quality_ranking,accuracy_ranking,overall_ranking,entry_index,text_prompt
"C,A,B,D","A,C,B,D","A,C,B,D","C,A,B,D",1,A flower blooming from a bud to full bloom over time.
"A,B,D,C","B,D,A,C","B,D,C,A","A,B,D,C",2,A cat chasing a laser pointer dot across the room.
"D,B,C,A","C,D,A,B","A,D,C,B","D,A,C,B",3,A rotating 3D cube changing colors.
"B,C,A,D","C,B,A,D","A,C,B,D","D,B,A,C",4,A sunrise over the mountains turning into daytime.
"A,D,B,C","B,A,D,C","A,C,B,D","D,B,A,C",5,A person morphing into a wolf under a full moon.
"A,D,B,C","A,D,B,C","D,C,A,B","A,D,B,C",6,Raindrops falling into a puddle creating ripples.
"A,C,D,B","B,A,D,C","A,B,D,C","A,D,B,C",7,A city skyline transitioning from day to night with lights turning on.
"C,B,A,D","A,C,B,D","A,C,B,D","D,A,C,B",8,An apple falling from a tree and bouncing on the ground.
"A,B,C,D","A,D,B,C","A,B,D,C","D,A,B,C",9,A hand drawing a circle on a whiteboard.
"D,A,C,B","D,B,A,C","B,A,C,D","A,B,D,C",10,An ice cube melting into water.
"D,B,C,A","C,B,A,D","B,A,C,D","B,A,C,D",11,A rocket launching into space and disappearing into the stars.
"A,D,C,B","D,A,B,C","A,B,C,D","D,A,C,B",12,A chameleon changing colors on a branch.
"D,A,B,C","B,D,A,C","C,A,B,D","B,A,C,D",13,A balloon inflating and then popping.
"C,B,A,D","C,A,B,D","C,B,D,A","C,D,A,B",14,A paper airplane flying across a classroom.
"D,B,A,C","D,B,C,A","D,C,B,A","A,B,D,C",15,Clouds forming and then dissipating in the sky.
"D,C,A,B","D,C,B,A","A,D,B,C","C,D,B,A",16,A cup of coffee being poured with steam rising.
"A,D,C,B","A,D,C,B","B,C,D,A","A,C,D,B",17,A clock's hands moving fast-forward from noon to midnight.
"A,B,D,C","A,B,D,C","A,B,D,C","A,B,C,D",18,A caterpillar transforming into a butterfly.
"B,D,C,A","A,D,B,C","D,B,C,A","B,A,C,D",19,A book opening and pages flipping.
"D,B,C,A","C,D,A,B","C,D,A,B","D,C,B,A",20,A snowman melting under the sun.
"D,A,C,B","A,D,C,B","D,A,C,B","C,B,A,D",21,A traffic light cycling from red to green.
"D,C,A,B","C,D,B,A","C,A,D,B","C,D,A,B",22,A fish jumping out of water and diving back in.
"C,A,D,B","C,D,A,B","A,B,D,C","A,C,D,B",23,An artist painting a canvas with a brush.
"B,C,A,D","C,B,A,D","C,B,D,A","B,A,C,D",24,A spinning globe showing continents passing by.
"C,D,A,B","D,B,C,A","D,A,C,B","C,D,B,A",25,Leaves falling from a tree in autumn.
"C,B,D,A","B,C,D,A","C,D,B,A","D,B,C,A",26,A car transforming into a robot.
"B,C,D,A","D,C,B,A","D,B,A,C","A,D,B,C",27,A candle burning down with the flame flickering.
"A,B,C,D","B,A,D,C","D,B,C,A","B,D,A,C",28,A soccer ball being kicked into a goal.
"C,A,B,D","C,B,A,D","C,D,B,A","B,C,A,D",29,A river flowing through a forest.
"C,D,A,B","C,D,B,A","B,C,D,A","D,A,B,C",30,A rainbow appearing after rain.
"C,A,D,B","D,C,B,A","D,B,C,A","D,B,C,A",31,An eclipse where the moon passes in front of the sun.
"C,B,D,A","B,C,D,A","C,D,B,A","C,B,A,D",32,A horse galloping across a field.
"D,A,B,C","B,A,D,C","A,D,B,C","A,B,D,C",33,Popcorn popping in a microwave.
"D,A,C,B","C,D,B,A","C,D,A,B","C,D,B,A",34,A kaleidoscope pattern changing shapes and colors.
"A,C,B,D","A,C,D,B","B,C,A,D","A,D,C,B",35,A glass shattering into pieces when dropped.
"A,D,B,C","D,C,A,B","C,A,D,B","B,D,A,C",36,An astronaut floating in space waving.
"A,B,D,C","B,A,D,C","D,C,A,B","B,D,C,A",37,A plant growing from a seed to a sapling.
"B,C,D,A","B,C,D,A","B,C,A,D","B,C,D,A",38,Fireworks exploding in the night sky.
"A,B,D,C","A,B,D,C","A,B,D,C","A,D,B,C",39,A dog wagging its tail happily.
"B,A,D,C","B,C,A,D","B,A,D,C","C,D,B,A",40,A compass needle spinning and settling north.
"C,A,B,D","A,D,B,C","B,A,C,D","B,A,D,C",41,An umbrella opening up during rainfall.
"C,B,D,A","C,B,D,A","D,C,B,A","C,B,D,A",42,A stop-motion animation of clay figures moving.
"C,A,B,D","D,C,B,A","B,D,A,C","B,C,D,A",43,A battery draining from full to empty.
"D,C,B,A","C,A,B,D","C,B,A,D","C,B,D,A",44,A puzzle being assembled piece by piece.
"C,B,D,A","C,D,A,B","D,C,A,B","D,C,B,A",45,A windmill's blades turning in the breeze.
"C,A,D,B","A,C,D,B","A,D,B,C","C,A,B,D",46,A snake slithering through the grass.
"B,C,A,D","D,A,C,B","D,C,A,B","A,B,C,D",47,A paintbrush changing colors as it moves.
"B,A,D,C","C,A,B,D","C,B,A,D","A,B,C,D",48,A volcano erupting with lava flowing.
"A,B,C,D","B,D,C,A","D,C,A,B","A,B,C,D",49,An eye blinking slowly.
"D,B,C,A","A,D,B,C","B,D,A,C","D,B,C,A",50,A paper crumpling into a ball.
